school_name,url_address,address,postal_code,telephone_no,telephone_no_2,fax_no,fax_no_2,email_address,mrt_desc,bus_desc,principal_name,first_vp_name,second_vp_name,third_vp_name,fourth_vp_name,fifth_vp_name,sixth_vp_name,dgp_code,zone_code,type_code,nature_code,session_code,mainlevel_code,sap_ind,autonomous_ind,gifted_ind,ip_ind,mothertongue1_code,mothertongue2_code,mothertongue3_code
CATHOLIC HIGH SCHOOL,http://www.catholichigh.moe.edu.sg,9 BISHAN STREET 22   ,579767,64582177 (Secondary),64589869 (Primary),64561322 (Secondary),64593938 (Primary),chs@moe.edu.sg,BISHAN MRT,"13, 52, 54, 88, 156, 162, 162M, 410",MADAM TEO YVONNE,MISS LOW PEI LIN BEVERLY,MADAM CHUA HUI PIN,MR TAY YUAN ZHUANG,"MISS WONG MEI YING, DEBBIE",MR FONG KOK WAI,na,BISHAN,NORTH,GOVERNMENT-AIDED SCH,BOYS' SCHOOL,SINGLE SESSION,MIXED LEVEL (P1-S4),Yes,Yes,Yes,Yes,CHINESE,na,na
CATHOLIC JUNIOR COLLEGE,https://cjc.moe.edu.sg/,129 WHITLEY ROAD   ,297822,62524083,na,62537267,na,catholic_jc@moe.edu.sg,"Toa Payoh (NS Line), Novena (NS Line), Stevens (DT Line), Caldecott (CC Line,TE Line)","105, 132, 151, 153, 154, 156, 186, 966, 985",MRS WOO SOO MIN,MADAM KAM WAI CHIN,MR TAN JEK SUAN,na,na,na,na,NOVENA,SOUTH,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,FULL DAY,JUNIOR COLLEGE,No,No,No,No,CHINESE,na,na
CEDAR GIRLS' SECONDARY SCHOOL,http://www.cedargirlssec.moe.edu.sg,1 CEDAR AVENUE   ,349692,62884909,na,62820244,na,cedargirlss@moe.edu.sg,"WOODLEIGH MRT, POTONG PASIR MRT, MATTAR MRT","8, 13, 61, 64, 65, 66, 90, 100, 107, 133, 135, 142, 147, 151, 154, 155, 853",MADAM THONG MAY TENG,MADAM TAN GEOK LAN,MISS ONG SHU HUI,MR LOH KEAN WAH,na,na,na,TOA PAYOH,SOUTH,GOVERNMENT SCHOOL,GIRLS' SCHOOL,SINGLE SESSION,SECONDARY (S1-S4),No,Yes,No,Yes,CHINESE,MALAY,TAMIL
CEDAR PRIMARY SCHOOL,http://www.cedarpri.moe.edu.sg,15 CEDAR AVENUE   ,349700,62885633,na,62830113,na,cedar_ps@moe.edu.sg,Potong Pasir MRT Station,"8, 61, 64, 65, 66, 66A, 90, 90A, 100, 135, 151, 154, 155",MR CHRIS CHUA,MS CHOONG PEI CHIN,MISS LEONG MEI YAN AMELIA,MR NG CHU SIU,na,na,na,TOA PAYOH,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
CHANGKAT CHANGI SECONDARY SCHOOL,http://www.changkatchangisec.moe.edu.sg,23 SIMEI ST 3   ,529894,67859790,na,67868481,na,changkatchgi@moe.edu.sg,SIMEI MRT,"5, 9, 20, 38",MR KWOK YING LIANG,MS SUBASHINI D/O SIVARAM,na,na,na,na,na,TAMPINES,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL
CHANGKAT PRIMARY SCHOOL,http://www.changkatpri.moe.edu.sg/,11 SIMEI ST 3   ,529896,67830923,na,67844740,na,changkat_ps@moe.edu.sg,Simei MRT Station,"9, 38, 5",MADAM RATNA KUMARI D/O R RAMACHANDRA,MRS LEE LI THENG,MADAM SITI NAZRAH BTE ABDUL RAHMAN,na,na,na,na,TAMPINES,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
CHIJ (KATONG) PRIMARY,http://chijkcp.moe.edu.sg/,17 MARTIA ROAD   ,424821,63443072,na,63459007,na,chijktps@moe.edu.sg,"MARINE PARADE, EUNOS, PAYA LEBAR","15, 55, 36, 16, 135, 197, 196, 31, 13, 76, 12, 10, 14, 32, 40",MADAM MISCHA LEIGH PEREIRA,MADAM TAN POH KUAN JOYCELYN,MISS SHARON NG YE CHIN,MR ONG HENG KIONG (KONG QINGQIANG),na,na,na,BEDOK,EAST,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
CHIJ (KELLOCK),http://www.chijkellock.moe.edu.sg/,1 Bukit Teresa Road   ,99757,62730096,na,62731710,na,chijks@moe.edu.sg,Outram Park Station,"61, 124, 143, 166",MRS SHANTHI SURAJ NAIR,MADAM YUE  SHARON,MISS VALERIE JOAN BAPTIST,na,na,na,na,BUKIT MERAH,SOUTH,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
CHIJ KATONG CONVENT,http://www.chijkatongconvent.moe.edu.sg,346 MARINE TERRACE   ,449150,64486433,na,64494405,na,chijktcs@moe.edu.sg,"BEDOK MRT, KEMBANGAN MRT, EUNOS MRT, PAYA LEBAR MRT, MARINE TERRACE MRT","4N, 13, 16, 31, 36, 36A, 36B, 43, 47, 48, 55, 134, 135, 135A, 150, 196, 196E, 197, 853C, 763",MISS CHEN MEI CHUEN,MISS CHIA SIEW HUI,MISS LIM AI HUI ANNIE,MADAM CORIE LEE,na,na,na,MARINE PARADE,EAST,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,Yes,No,No,CHINESE,MALAY,TAMIL
CHIJ OUR LADY OF GOOD COUNSEL,http://www.chijourladyofgoodcounsel.moe.edu.sg,2C Burghley Drive   ,558979,62886930,na,62814132,na,chijolgcs@moe.edu.sg,"Ang Mo Kio MRT, Bishan MRT, Serangoon MRT station.","317 Feeder Bus Service from Serangoon Interchange. 135, 136 from Ang Mo Kio Interchange.",MISS TAN LEE YIN GRACE,MISS LIAT MEI KUEN GERALDINE SHARON,MRS WONG- LIM ENG LING ANGELINA,na,na,na,na,SERANGOON,SOUTH,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
CHIJ OUR LADY OF THE NATIVITY,http://www.chijourladyofthenativity.moe.edu.sg/,1257 UPPER SERANGOON ROAD   ,534793,63852455,na,63852012,na,chijoln@moe.edu.sg,Hougang MRT,"74, 102, 112, 113, 119, 136, 147, 324, 672",MS ALBUQUERQUE KAREN ANNE,MADAM WONG YEN LING,MISS LUM CINDY,MRS TAN-YEO WEE PIN,na,na,na,HOUGANG,SOUTH,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
CHIJ OUR LADY QUEEN OF PEACE,http://www.chijourladyqueenofpeace.moe.edu.sg/,4 Chestnut Drive   ,679287,67691529,na,67653551,na,chijolqp@moe.edu.sg,Cashew and Hillview,"180, 67, 171, 176, 177, 178, 184, 961, 963, 970",MS PHAM HONG LIEN PHYLLIS G.,MADAM ADELINE CHONG NGOR YIM,MADAM SNG POH GEOK,na,na,na,na,BUKIT PANJANG,WEST,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
CHIJ PRIMARY (TOA PAYOH),http://www.chijpritoapayoh.moe.edu.sg,628 Lorong 1 Toa Payoh   ,319765,63532164,na,63536362,na,chijtpps@moe.edu.sg,Toa Payoh,"59, 231, 141",MADAM CHUA SOOK LIAN JUDINA,MRS MELISSA YAP,MISS IMELDA JOY TAN PEK THIAN,MADAM YVONNE LIM BUAY HUANG (LIN MEIFANG),na,na,na,TOA PAYOH,SOUTH,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
CHIJ SECONDARY (TOA PAYOH),http://www.chijsec.edu.sg,626 LORONG 1 TOA PAYOH   ,319764,63534972,na,63544573,na,chijtpss@moe.edu.sg,TOA PAYOH MRT,"59, 141, 231",MS GENEVIEVE CHYE WUI HUNG,MADAM CHRIS KOH,MADAM LIM LAY HOON,MISS KESAVAN PAULA ANNE,na,na,na,TOA PAYOH,SOUTH,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,Yes,No,No,CHINESE,MALAY,TAMIL
CHIJ ST. JOSEPH'S CONVENT,http://www.chijstjosephsconvent.moe.edu.sg,62 SENGKANG EAST WAY   ,548595,64897580,na,64897589,na,chijsjcs@moe.edu.sg,SENGKANG MRT,"50, 82, 86, 88, 119, 136",MRS VALERIE PINTO,MISS HO WEI LING,MISS TAN LAI YEE MICHELLE,MR ONG KAH HUI VICTOR,na,na,na,SENG KANG,NORTH,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL
CHIJ ST. NICHOLAS GIRLS' SCHOOL,http://www.chijstnicholasgirls.moe.edu.sg,501 ANG MO KIO STREET 13   ,569405,63541839 (Secondary),64549698 (Primary),64511335 (Secondary),64566169 (Primary),chijsng_sec@moe.edu.sg,"ANG MO KIO MRT, YIO CHU KANG MRT, MAYFLOWER MRT","76, 265, 268, 269",MISS TAN SIN WEI WINNIE,MADAM LOW CHIA YEE,MR NG WAI KIT KELVIN,MISS YEO TECK WOON,MR LIM KAY WAH BENEDICT,MR THAM WAI KONG,na,ANG MO KIO,NORTH,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,MIXED LEVEL (P1-S4),Yes,Yes,No,Yes,CHINESE,na,na
CHIJ ST. THERESA'S CONVENT,http://www.chijsttheresasconvent.moe.edu.sg,160 LOWER DELTA ROAD   ,99138,64775777,na,64775700,na,chijstcs@moe.edu.sg,"HARBOURFRONT MRT, TIONG BAHRU MRT","65, 121, 123, 123M, 124, 131, 131M, 195, 195A, 272, 855",MADAM TAN MEI MEI JENNY,MISS WEE MEI YEN JANICE,MISS OH SEE MOEY,MR YEO NGEE YANG,na,na,na,BUKIT MERAH,SOUTH,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL
CHONGFU SCHOOL,http://www.chongfu.moe.edu.sg/,170 YISHUN AVENUE 6   ,768959,67585527,na,62579571,na,cfs@moe.edu.sg,Yishun MRT station,Feeder Service 811,MR TAN KING MING,MISS LEA SHU HUI,MISS CHOI PEI LING,na,na,na,na,YISHUN,NORTH,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
CHONGZHENG PRIMARY SCHOOL,http://www.chongzhengpri.moe.edu.sg,1 TAMPINES STREET 21   ,529392,67819002,na,67845054,na,czps@moe.edu.sg,"Tampines MRT Station, Tampines East MRT Station","3, 3A, 8, 17, 18, 20, 28, 34, 39, 59, 518",MR LIM WEE JAMES,MADAM RANJIT KAUR D/O MUKHTAR SINGH,MISS LIAW SHAOJUN,na,na,na,na,TAMPINES,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
CHRIST CHURCH SECONDARY SCHOOL,http://www.christchurchsec.moe.edu.sg,20 WOODLANDS DRIVE 17   ,737924,68933297,na,68932789,na,ccss@moe.edu.sg,"WOODLANDS MRT, WOODLANDS SOUTH MRT","901, 901M, 665",MR TAY JUNCHENG ADRIAN,MADAM HENG EU LIN,MADAM TEO MEI LIN YVONNE,na,na,na,na,WOODLANDS,NORTH,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL
CHUA CHU KANG PRIMARY SCHOOL,http://www.chuachukangpri.moe.edu.sg,20 CHOA CHU KANG AVENUE 2   ,689905,67661574,na,67661583,na,cckps@moe.edu.sg,"Choa Chu Kang MRT Station and, Southview LRT Station","Bus Service 300, 301 and NR3 along Chua Chu Kang Ave 2, Bus Service 172, 301, 991 along Chua Chu Kang Ave 1",MR QUEK SWEE NEE,MADAM CHEW BOON HWEE,MADAM CHUA MUI LING,MADAM PUSPHAALATHA D/O AYAVOO,na,na,na,CHOA CHU KANG,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
CHUA CHU KANG SECONDARY SCHOOL,http://www.chuachukangsec.moe.edu.sg,31 TECK WHYE CRESCENT   ,688848,67691386,na,67630487,na,cckss@moe.edu.sg,"CHOA CHU KANG MRT, PHOENIX LRT","190, 190A, 307, 975, 982E, 985",MR CHENG GHEE HOCK TIMOTHY,MADAM HARTATI BTE OSMAN,MADAM ONG SIEW KHIM,MR NEO MENG KEONG,na,na,na,CHOA CHU KANG,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL
CHUNG CHENG HIGH SCHOOL (MAIN),http://www.chungchenghighmain.moe.edu.sg,50 GOODMAN ROAD   ,439012,63441393,na,63449686,na,cchms@moe.edu.sg,DAKOTA MRT,"10, 12, 14, 14A, 14E 16, 16M, 30, 31, 32, 33, 40, 43, 43E 135, 134, 196, 196A 197, 401, 853M",MR YAO ZHIXUAN TERENCE,MR CHONG TENG YUAN,MADAM NG BEE LING,MADAM ONG LEE FONG,na,na,na,MARINE PARADE,EAST,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S4),Yes,Yes,No,No,CHINESE,na,na
CHUNG CHENG HIGH SCHOOL (YISHUN),http://www.chungchenghighyishun.moe.edu.sg,11 YISHUN STREET 61   ,768547,67583912,na,67587397,na,cchys@moe.edu.sg,KHATIB MRT,"Yishun Street 61 (opposite school) - 812, Yishun Ave 2 - 39, 85, 117, 851, 852, 853, 854, 855, 857, 858, 860, 965, 969",MR CHIA GUO HAO,MR WOO LEE YEN,MRS CRESCENDRA CHONG-TAN XIU MEI,MR CHEONG WING FOOK MELVIN,na,na,na,YISHUN,NORTH,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL
CLEMENTI PRIMARY SCHOOL,http://www.clementipri.moe.edu.sg,8 CLEMENTI AVE 3   ,129903,67797449,na,67732898,na,admin_clementi_ps@moe.edu.sg,Clementi MRT Station,We are just beside Clementi Bus Interchange.,MR VIMALENTHIRAN S/O VIJAYASINGAM,MADAM KHOO HENG OI CATHERINE,MADAM LOW TAN YING,MR LEE ENG LOO,na,na,na,CLEMENTI,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
CLEMENTI TOWN SECONDARY SCHOOL,http://www.clementitownsec.moe.edu.sg,10 CLEMENTI AVE 3   ,129904,67777362,na,67789543,na,ctss@moe.edu.sg,CLEMENTI MRT,"14, 105, 106, 147, 156, 165, 166, 173, 175, 184, 196, 282, 284, 285, 7, 96, 99",MADAM RASIDAH BTE RAHIM,MISS HUANG KEXIN,MR NG PING HWEE,MR TAN LIANG HOOI,na,na,na,CLEMENTI,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL
COMMONWEALTH SECONDARY SCHOOL,http://www.commonwealthsec.moe.edu.sg,698 WEST COAST ROAD   ,608784,65606866,na,65645204,na,cwss@moe.edu.sg,"JURONG EAST MRT, CLEMENTI MRT","30, 51, 78, 79, 143, 143M, 176, 201",MR JEREMY ANG KAY YONG,MRS CLAIRE TAN SHI YING,MR DANIEL ONG POH SOON,na,na,na,na,JURONG EAST,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,Yes,No,No,CHINESE,MALAY,TAMIL
COMPASSVALE PRIMARY SCHOOL,http://www.compassvalepri.moe.edu.sg/,21 COMPASSVALE ST   ,545091,63882819,na,63882798,na,cvps@moe.edu.sg,Sengkang,"83 (along Compassvale Street), 27, 89, 89E & 965 (along Compassvale Road).",MR VINCENT LEE WEI YEE,MRS MARIA KOH,MR CHIN WENG KIT KELVIN,MR KHOU BENG CHEW,na,na,na,SENG KANG,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
COMPASSVALE SECONDARY SCHOOL,http://www.compassvalesec.moe.edu.sg,51 COMPASSVALE CRESCENT   ,545083,68815047,na,68815998,na,cvss@moe.edu.sg,"SENGKANG MRT, COMPASSVALE LRT","27, 27A, 82, 83, 86, 88, 89, 89E, 136, 161, 371, 965",MR CHUA TUNG KIAN,MADAM LEE WUI LIN JACQUELINE,MADAM NG SIEW CHIN,MR SZE GUAN KIAT,na,na,na,SENG KANG,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL
CONCORD PRIMARY SCHOOL,http://www.concordpri.moe.edu.sg/,3 CHOA CHU KANG AVE 4   ,689814,67632139,na,67632452,na,concord_ps@moe.edu.sg,Choa Chu Kang MRT Station,Bus 300 and 983,MDM CHUA LENG YIN,MADAM GOH PUAY HOON JENNY,MADAM SALBIAH BTE ABAS,na,na,na,na,CHOA CHU KANG,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
CORPORATION PRIMARY SCHOOL,http://www.corporationpri.moe.edu.sg,31 JURONG WEST STREET 24   ,648347,67957381,na,67957098,na,cps@moe.edu.sg,"BOON LAY STATION, LAKESIDE STATION","157 (from Boon Lay Interchange), or 185",MR MUHAMMAD FADYLLA B RASHIMAN,MDM GOH MUI EE,MADAM NG SEOW WEI JOSEPHINE,na,na,na,na,JURONG WEST,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
CRESCENT GIRLS' SCHOOL,http://www.crescent.edu.sg,357 TANGLIN ROAD   ,247961,64758711,na,64741248,na,crescentgirl@moe.edu.sg,REDHILL MRT,"32, 111, 122, 132, 51, 139, 186, 970",MISS LOW SHIOK CHENG CINDY,MRS TAY PO LIN,MISS USHA JEYARAJAH,MR LIM HAN CHEE,na,na,na,BUKIT MERAH,SOUTH,GOVERNMENT SCHOOL,GIRLS' SCHOOL,SINGLE SESSION,SECONDARY (S1-S4),No,Yes,No,No,CHINESE,MALAY,TAMIL
CREST SECONDARY SCHOOL,http://www.crestsec.edu.sg,561 JURONG EAST STREET 24   ,609561,68992779,na,68992668,na,info@crestsec.edu.sg,"BUKIT BATOK MRT, JURONG EAST MRT","41, 52, 98, 98M, 105, 176, 183, 187, 188, 188R, 333, 502, 868, 990",MR KWOK CHIN POH BENJAMIN,MADAM TAN KAY BIN,MADAM LEE KEE MENG,MR OTHMAN ARSAN BIN MOHD ABUBAKAR,na,na,na,JURONG EAST,WEST,SPECIALISED INDEPENDENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S4),No,No,No,No,CHINESE,MALAY,TAMIL
DAMAI PRIMARY SCHOOL,http://www.damaipri.moe.edu.sg,52 BEDOK RESERVOIR CRESCENT   ,479226,64456483,na,64499681,na,damai_ps@moe.edu.sg,Bedok North MRT Station,"Bus 228, 66, 65, 22, 21, 5 and 506",MRS LEONG- TAN LING LING JENNY,MADAM LIM PECK CHIN YENLYN,MR MOHAMED JURAIMI BIN ABDUL MUHIN,na,na,na,na,BEDOK,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
DAMAI SECONDARY SCHOOL,http://www.damaisec.moe.edu.sg,4800 BEDOK RESERVOIR ROAD   ,479229,64436848,na,64425629,na,damai_ss@moe.edu.sg,"BEDOK RESERVOIR MRT, BEDOK MRT, TAMPINES MRT","5, 21, 22, 59, 65, 66, 228, 506, CT18",MR PRASHANT S/O JAYAPRAGAS,MR NG CHENG KEONG,MADAM PREMLATHA D/O SELVARAJ,na,na,na,na,BEDOK,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL
DAZHONG PRIMARY SCHOOL,http://www.dazhongpri.moe.edu.sg,35 BUKIT BATOK STREET 31   ,659441,65658002,na,65636421,na,dazhong_ps@moe.edu.sg,Bukit Gombak,"187, 188",MR CHRIS LOH KAI MUN,MR KOH KAH HOCK,MRS LIM SEOW KHIM MRS BOEY- LIM SEOW KHIM,MDM NUR JANNAH BTE JURI,MISS TAN HUI YAH,na,na,BUKIT BATOK,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
DE LA SALLE SCHOOL,http://www.delasalle.moe.edu.sg,11 Choa Chu Kang St 52   ,689285,67667675,na,67622075,na,dlss@moe.edu.sg,YEW TEE MRT,"TIBS 302, 979",MADAM CHERYL CHOO SHUEH-LI,MISS CECILIA TAN LI HUA,MISS LIU JIAZHEN ADELINE,MR ONG SWEE HUAT ANDREW,na,na,na,CHOA CHU KANG,WEST,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
DEYI SECONDARY SCHOOL,http://www.deyisec.moe.edu.sg,1 ANG MO KIO STREET 42   ,569277,64561565,na,64583364,na,deyi_ss@moe.edu.sg,ANG MO KIO MRT,"22, 24, 25, 45, 50, 55, 73, 74, 76, 88, 132, 135, 159, 162, 165, 261, 262, 268, 652, 853",MR CHOW WEISI,MR APOLLOS INDUCHOODAN PILLAI,MISS CHIANG HUIMIN,na,na,na,na,ANG MO KIO,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL
DUNEARN SECONDARY SCHOOL,http://www.dunearnsec.moe.edu.sg,21 BUKIT BATOK WEST AVENUE 2   ,659204,65653692,na,65668650,na,dunearn_ss@moe.edu.sg,"BUKIT BATOK MRT, BUKIT GOMBAK MRT","160, 180, 187, 188, 945, 947, 985",MADAM SOH BENG MUI,MR LEE KAH SIONG JIMMY,MISS VIKNESWARI D/O RAJENTHIRAN,YAP KWEE CHYE,na,na,na,BUKIT BATOK,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL
DUNMAN HIGH SCHOOL,http://www.dunmanhigh.moe.edu.sg,10 TANJONG RHU ROAD   ,436895,63450533,na,63442316,na,dhs@moe.edu.sg,"KATONG PARK MRT,ALJUNIED MRT, KALLANG MRT, MOUNTBATTEN MRT,","12, 14, 30, 158, 196",MR CHAN YING YIN,MR MELVIN NG YONG HUI,MR ONG QIU JIE,MR PHUAH KIA LIANG,na,na,na,KALLANG,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,MIXED LEVEL (S1-JC2),Yes,Yes,Yes,Yes,CHINESE,na,na
DUNMAN SECONDARY SCHOOL,http://www.dunmansec.moe.edu.sg,21 TAMPINES STREET 45   ,529093,67862668,na,67842164,na,dunman_ss@moe.edu.sg,TAMPINES EAST MRT,"28, 29, 293",MR TOH THIAM CHYE,MISS PRIYA PRASAD,"MR WONG TIEN CHIEH, GLENN",MR LOW WEE LEONG ERIC,na,na,na,TAMPINES,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,Yes,No,No,CHINESE,MALAY,TAMIL
EAST SPRING PRIMARY SCHOOL,http://www.eastspringpri.moe.edu.sg,31 TAMPINES ST 33   ,529258,67866192,na,67866649,na,esps@moe.edu.sg,Tampines,"291, 28, 18",MADAM NEO LAY WAH,MADAM FAZILAH MARICAR D/O MD ALI M,MS NG HUI ENG,na,na,na,na,TAMPINES,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
EAST SPRING SECONDARY SCHOOL,http://www.eastspringsec.moe.edu.sg,30 TAMPINES STREET 34   ,529231,65873805,na,65873804,na,esss@moe.edu.sg,"TAMPINES MRT, TAMPINES EAST MRT","3, 4, 9, 12, 17, 18, 19, 21, 28, 29, 34, 37, 39, 59, 81, 291, 518",MISS HO SUSIE,MR LIM PIA LEONG,MR ANIL S/O VASUDEVAN,MR PHAY CHYE HOCK ADRIAN,na,na,na,TAMPINES,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL
EDGEFIELD PRIMARY SCHOOL,http://www.edgefieldpri.moe.edu.sg,41 EDGEFIELD PLAINS   ,828869,63126091,na,63126093,na,edgefield_ps@moe.edu.sg,Punggol MRT,"3, 34, 62, 82, 83, 136",MADAM RABIATHUL BAZRIYA D/O ABU BAKAR,MR YAP LIH MIN SAMUEL,MS TAN PEY SAN,TEH CHONG ANN,na,na,na,PUNGGOL,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
EDGEFIELD SECONDARY SCHOOL,http://www.edgefieldsec.moe.edu.sg,36 PUNGGOL FIELD   ,828814,68839511,na,63153120,na,edgefield_ss@moe.edu.sg,PUNGGOL MRT,"3, 34, 62, 82, 83, 119, 136, 381, 382G",MR FOO JUNG HIN SIMON,MR BENSON TEO HONG GUAN (ZHANG HONGYUAN),MR HOW PUI SENG,na,na,na,na,PUNGGOL,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL
ELIAS PARK PRIMARY SCHOOL,http://www.eliasparkpri.moe.edu.sg,11 PASIR RIS STREET 52   ,518866,65844393,na,65844392,na,epps@moe.edu.sg,Pasir Ris MRT,"3, 15, 39, 53, 81, 88, 89, 357, 403, 518",MADAM NURAZIAN BINTE BAJURI,MR HO FU CHEW,PEH BEE KUAN,na,na,na,na,PASIR RIS,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
ENDEAVOUR PRIMARY SCHOOL,https://endeavourpri.moe.edu.sg/,10 Admiralty Link   ,757521,64824650,64824835,64824670,na,endeavour_ps@moe.edu.sg,Sembawang MRT Station,"859, 962",MR KOH KIAN SENG THOMAS,MISS FAUZIAH DAUD,MISS CELESTE LOH SHI MIN,MISS LEE SWEE HOON JOYCE,na,na,na,SEMBAWANG,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
